Name	Cluster
abis leuven	None
acev antwerp	None
acta antwerpen	None
activities and societies member board of director opb onthaal promotie brussel since march	None
activities and societies semini leuven finance skills program	None
adeb vba ulb vub	None
agent de maintenance en eolien	None
agentschap voor hoger onderwijs volwassenenonderwijs	None
agricultural university gent universit	None
ahsal management school brussels	None
aig ucl louvain la neuve	Catholic University of Leuven
alcatel university antwerpen	University of Antwerp
amelior gent	None
antwerp management school	None
antwerp management school business school	None
antwerp maritime academy	None
antwerp university	University of Antwerp
antwerpen	None
antwerpen acb	None
antwerpen karel de grote hogeschool	None
ap antwerpen	None
ap hogeschool antwerpen	None
ap hogeschoon antwerpen	None
artesis hogeschool antwerpen	None
artesis plantijn antwerpen	None
artesis plantijn hogeschool antwerpen	None
artevelde hoge school antwerpen	None
artevelde hogeschool gent	None
arteveldehogeschool gent egon	None
atel antwerpen	None
atheneum antwerpen	None
athénée royal mons	None
atic leuven	Catholic University of Leuven
avondschool cvo ivv gent	None
b m e gent	None
belgisch textiel en kunststoffen instituut gent	None
beta vzw uia antwerpen	None
bkr te antwerpen	None
bme brugge gent	None
bme ctl gent	None
bme gent	None
bme gent vroeger lindelei	None
bme hogent	None
bme hogeschool gent	None
bmi gent	None
brucemo brussel	None
brussel	Free University of Brussels
brussel ehsal	None
brussel formation	None
brussel opleiding	None
brussels chamber of commerce	None
brussels polytechnical school	None
btee a mons	None
c t l gent	None
c v o gent	None
c v o leuven landen	None
cae oxford aviation academy brussels	None
campus denayer	Catholic University of Leuven
captains table gent	None
catapult brussel	None
catholic university leuven belgium	Catholic University of Leuven
catholic university louvain	Catholic University of Leuven
catholic university of leuven	Catholic University of Leuven
catholic university of leuven faculty of medicine	Catholic University of Leuven
catholic university of leuven faculty of pharmaceutical sciences	Catholic University of Leuven
catholic university of leuven kul	Catholic University of Leuven
cedicol informazout brussel anderlecht	None
centre de competences mons	None
centre qualite hainaut namur	None
centrum voor avondonderwijs hasselt	None
centrum voor levende talen clt leuven	None
centrum voor middenstandsopleidingen cmo leuven	None
centrum voor volwassenenonderwijs antwerpen	None
centrum voor volwassenenonderwijs kisp gent	None
cevora antwerpen	Catholic University of Leuven
cevora cepa antwerp	None
cevora confederatiebouw hasselt	Catholic University of Leuven
cevora gent	None
cevora leuven	Catholic University of Leuven
cevora leuven belgie	Catholic University of Leuven
charles buls in brussel	None
college saint michel brussels	None
commercial engineer at ku leuven	None
concervatorium antwerpen	None
cours industriels brussel	None
cpme uclouvain	None
ctl bme gent	None
ctl gent	None
ctl te gent	None
ctl voskenslaan gent	None
cvo antwerpen	None
cvo antwerpen hbo avondschool	None
cvo antwerpen zuid	None
cvo brussel	None
cvo brussels	None
cvo de bargie gent	None
cvo de verdieping syntra hasselt	None
cvo gent	None
cvo hasselt	None
cvo ivv gent	None
cvo kisp gent	None
cvo leuven	None
cvo provincie antwerpen campus piva	None
cvo step hasselt	None
cvo step hasselt i s m xios hogelimburg	None
cvo technicum noord antwerpen londonstraat	None
cvo volwassenenonderwijs antwerpen	None
cvo vti leuven	None
de economie culture club ghent co founder clash icc gent weekly events	None
de lindelei gent	None
